Date,Open,High,Low,Close,Adj Close,Volume,
2,22-01-2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405
3,23-01-2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951
4,24-01-2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597
5,25-01-2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594
6,26-01-2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034
7,27-01-2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629
8,28-01-2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523
9,29-01-2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075
10,30-01-2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444
11,31-01-2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465
12,01-02-2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328
13,02-02-2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416
14,03-02-2022,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769
15,04-02-2022,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792
16,05-02-2022,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215
17,06-02-2022,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334
18,07-02-2022,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926
19,08-02-2022,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868
20,09-02-2022,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300
21,10-02-2022,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537
